"ARTIKEL","PLAATS","ARTIKELOMSCHRIJVING","MAAT","VOORRAAD","REFERENTIE","BARCODE"
"              332546","VR-01-07","              332546-AMAZONE-D HG ZW S3 PU/PU ST.PL","42","10","106430","8715316137013"
"              334548","VR-01-07","              334548-HIMALAYA-D HG ZW S3 PU/PU OVN ST.PL","46","10","106430","8715316137808"
"              534863","VR-01-07","              534863-MACK M XD HG/ZW  S3 OVN PD WK","42","10","106430","8715316091612"
"              700846","VR-01-07","              700846-PAUL-D LG ZW  S3  PD","44","10","106430","8715316040436"
"              720546","VR-01-07","              720546-ROCKY-D LG GRIJS S3  PUR/PUR","43","10","106430","8715316073755"
"              730548","VR-01-07","              730548-LUKAS-D HG ZW S3 OVN  PU","43","10","106430","8715316044427"
"              731568","VR-01-07","              731568-LUKAS-XD HG ZW S3 OVN  PU","43","10","106430","8715316044540"
"              731868","VR-01-07","              731868-BILLY-XD HG ZW S3 OVN PD","41","10","106430","8715316045004"
"              794560","VR-01-07","              794560-VENUS-XD INST ZW S2  PUR","42","10","106430","8715316072543"
"              995549","VR-01-07","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","44","10","106430","8715316150524"
"              181548","VR-01-08","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","5","106430","8715316021978"
"              334548","VR-01-08","              334548-HIMALAYA-D HG ZW S3 PU/PU OVN ST.PL","46","10","106430","8715316137808"
"              539848","VR-01-08","              539848-VULCANUS-D  LAS/ZW S3 OVN  PD","45","10","106430","8715316072932"
"              714540","VR-01-08","              714540-VENUS-D INST ZW  S2  PU","40","10","106430","8715316047145"
"              714546","VR-01-08","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","47","10","106430","8715316060434"
"              720546","VR-01-08","              720546-ROCKY-D LG GRIJS S3  PUR/PUR","43","10","106430","8715316073755"
"              722546","VR-01-08","              722546-NORDIC-D LG BR/ZW S3 PUR/PUR","41","10","106430","8715316073991"
"              730548","VR-01-08","              730548-LUKAS-D HG ZW S3 OVN  PU","43","10","106430","8715316044427"
"              730848","VR-01-08","              730848-BILLY-D HG ZW S3  OVN PD","43","10","106430","8715316044908"
"              731568","VR-01-08","              731568-LUKAS-XD HG ZW S3 OVN  PU","40","10","106430","8715316044519"
"              181548","VR-01-09","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","5","106430","8715316021978"
"              181548","VR-01-09","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","46","5","106430","8715316021992"
"              334548","VR-01-09","              334548-HIMALAYA-D HG ZW S3 PU/PU OVN ST.PL","46","10","106430","8715316137808"
"              534863","VR-01-09","              534863-MACK M XD HG/ZW  S3 OVN PD WK","44","10","106430","8715316091636"
"              701568","VR-01-09","              701568-LEO-XD LG ZW S3 OVN  PU","43","10","106430","8715316020568"
"              714546","VR-01-09","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","43","10","106430","8715316060397"
"              722546","VR-01-09","              722546-NORDIC-D LG BR/ZW S3 PUR/PUR","41","10","106430","8715316073991"
"              731868","VR-01-09","              731868-BILLY-XD HG ZW S3 OVN PD","41","10","106430","8715316045004"
"              763566","VR-01-09","              763566-NESTOR-XD HG BR/ZW S3 PUR/PUR","44","10","106430","8715316075322"
"              995549","VR-01-09","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","42","10","106430","8715316150500"
"              114090","VR-01-10","              114090-VITO-D LGZW S3 PRE ESD AGO (FRONTIER 114)","43","10","106430","8715316104770"
"              181548","VR-01-10","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","5","106430","8715316021978"
"              539848","VR-01-10","              539848-VULCANUS-D  LAS/ZW S3 OVN  PD","45","10","106430","8715316072932"
"              701560","VR-01-10","              701560-ROY-XD LG ZW  S2  PU","42","10","106430","8715316020438"
"              714540","VR-01-10","              714540-VENUS-D INST ZW  S2  PU","40","10","106430","8715316047145"
"              730548","VR-01-10","              730548-LUKAS-D HG ZW S3 OVN  PU","40","10","106430","8715316044397"
"              730548","VR-01-10","              730548-LUKAS-D HG ZW S3 OVN  PU","43","10","106430","8715316044427"
"              730848","VR-01-10","              730848-BILLY-D HG ZW S3  OVN PD","43","10","106430","8715316044908"
"              939868","VR-01-10","              939868-PRIMUS XD HG ZW/GR S3 OVN PD","41","10","106430","8715316093487"
"              996569","VR-01-10","              996569-CLYDE-XD HG ZW ESD PU/PU S3 METAL FREE","41","10","106430","8715316150647"
"              181548","VR-01-11","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","40","5","106430","8715316021930"
"              181548","VR-01-11","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","10","106430","8715316021978"
"              181548","VR-01-11","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","46","5","106430","8715316021992"
"              534863","VR-01-11","              534863-MACK M XD HG/ZW  S3 OVN PD WK","44","10","106430","8715316091636"
"              701568","VR-01-11","              701568-LEO-XD LG ZW S3 OVN  PU","43","10","106430","8715316020568"
"              714540","VR-01-11","              714540-VENUS-D INST ZW  S2  PU","40","10","106430","8715316047145"
"              714546","VR-01-11","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","43","10","106430","8715316060397"
"              730548","VR-01-11","              730548-LUKAS-D HG ZW S3 OVN  PU","43","10","106430","8715316044427"
"              995549","VR-01-11","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","40","10","106430","8715316150487"
